

------------------- CYCLE: 1
-- SCATTER
scatter | en: 1.49888
-- STAGE 1
loop: 1 | en_min: -2.50279
loop: 40 | en_min: -2.90862
loop: 82 | en_min: -2.95712
loop: 112 | en_min: -3.115
loop: 178 | en_min: -3.28939
loop: 615 | en_min: -3.42756
-- STAGE 2
loop: 98 | en_min: -3.59853
loop: 103 | en_min: -3.6064
loop: 111 | en_min: -3.6914
loop: 114 | en_min: -3.94205
loop: 123 | en_min: -4.11159
loop: 158 | en_min: -4.12453
loop: 162 | en_min: -4.17186
loop: 166 | en_min: -4.23073
loop: 177 | en_min: -4.26369
loop: 387 | en_min: -4.28648
loop: 409 | en_min: -4.44469
loop: 460 | en_min: -4.55205
loop: 488 | en_min: -4.60601
loop: 1384 | en_min: -4.64825
loop: 1672 | en_min: -4.70682
loop: 1704 | en_min: -4.78221
loop: 1854 | en_min: -4.85645
cycle_min: -4.85645


------------------- CYCLE: 2
-- SCATTER
scatter | en: 8.77201
-- STAGE 1
loop: 1 | en_min: -0.452936
loop: 2 | en_min: -0.867618
loop: 4 | en_min: -1.70951
loop: 11 | en_min: -2.59301
loop: 22 | en_min: -2.65418
loop: 23 | en_min: -3.31827
loop: 79 | en_min: -3.61082
loop: 111 | en_min: -3.68026
loop: 246 | en_min: -3.82586
loop: 973 | en_min: -3.83603
-- STAGE 2
loop: 153 | en_min: -3.89758
loop: 660 | en_min: -3.91293
loop: 868 | en_min: -4.10579
loop: 889 | en_min: -4.10808
loop: 977 | en_min: -4.17233
loop: 1097 | en_min: -4.26184
loop: 1107 | en_min: -4.27024
loop: 1154 | en_min: -4.41993
loop: 1183 | en_min: -4.48599
loop: 1227 | en_min: -4.68491
loop: 1239 | en_min: -4.70788
loop: 1243 | en_min: -5.05118
loop: 1247 | en_min: -5.30145
loop: 1248 | en_min: -5.43731
loop: 1282 | en_min: -5.60367
loop: 1355 | en_min: -5.66434
loop: 1357 | en_min: -5.79681
loop: 1372 | en_min: -5.91128
loop: 1736 | en_min: -5.92411
loop: 1818 | en_min: -5.93422
loop: 1822 | en_min: -5.93452
loop: 1903 | en_min: -5.96521
cycle_min: -5.96521


------------------- CYCLE: 3
-- SCATTER
scatter | en: 31.8467
-- STAGE 1
loop: 1 | en_min: 31.3548
loop: 2 | en_min: 22.1047
loop: 5 | en_min: 16.155
loop: 6 | en_min: 7.56321
loop: 9 | en_min: 7.45655
loop: 11 | en_min: -2.00729
loop: 12 | en_min: -2.10405
loop: 69 | en_min: -2.10416
loop: 72 | en_min: -2.33461
loop: 82 | en_min: -2.43742
loop: 216 | en_min: -2.77283
loop: 226 | en_min: -3.09438
loop: 333 | en_min: -3.1719
loop: 341 | en_min: -3.2773
loop: 367 | en_min: -3.38198
loop: 386 | en_min: -3.41557
loop: 407 | en_min: -3.43224
loop: 434 | en_min: -3.44369
loop: 519 | en_min: -3.46179
-- STAGE 2
loop: 6 | en_min: -3.49099
loop: 10 | en_min: -3.60336
loop: 15 | en_min: -4.02549
loop: 28 | en_min: -4.08244
loop: 46 | en_min: -4.12241
loop: 295 | en_min: -4.2344
loop: 408 | en_min: -4.25069
loop: 430 | en_min: -4.36926
loop: 620 | en_min: -4.48098
loop: 631 | en_min: -4.49988
loop: 838 | en_min: -4.58388
loop: 1238 | en_min: -4.59664
loop: 1377 | en_min: -4.6102
loop: 1401 | en_min: -4.68158
loop: 1413 | en_min: -4.70952
cycle_min: -4.70952


------------------- CYCLE: 4
-- SCATTER
scatter | en: 17.0079
-- STAGE 1
loop: 1 | en_min: -1.24613
loop: 4 | en_min: -1.49738
loop: 5 | en_min: -3.00985
loop: 38 | en_min: -3.10283
loop: 42 | en_min: -3.13303
loop: 47 | en_min: -3.56607
loop: 88 | en_min: -3.60056
loop: 147 | en_min: -3.60281
loop: 179 | en_min: -3.60636
loop: 494 | en_min: -3.67165
loop: 512 | en_min: -3.71809
loop: 674 | en_min: -3.75092
-- STAGE 2
loop: 88 | en_min: -3.79673
loop: 108 | en_min: -3.81306
loop: 162 | en_min: -3.87829
loop: 208 | en_min: -3.8812
loop: 230 | en_min: -3.93325
loop: 313 | en_min: -3.96705
loop: 316 | en_min: -4.23379
loop: 333 | en_min: -4.2604
loop: 346 | en_min: -4.5378
loop: 350 | en_min: -4.64933
loop: 396 | en_min: -4.79452
loop: 442 | en_min: -4.80639
loop: 449 | en_min: -4.90638
loop: 464 | en_min: -4.91428
loop: 472 | en_min: -5.02684
loop: 478 | en_min: -5.05764
