

------------------- CYCLE: 1
-- SCATTER
scatter | en: -5.78879
-- STAGE 1
loop: 2 | en_min: -5.99985
loop: 4 | en_min: -6.035
loop: 13 | en_min: -6.05072
loop: 15 | en_min: -6.06553
loop: 23 | en_min: -6.1158
loop: 49 | en_min: -6.20396
loop: 52 | en_min: -6.2386
loop: 75 | en_min: -6.38191
loop: 150 | en_min: -6.40502
loop: 155 | en_min: -6.45843
loop: 198 | en_min: -6.50801
-- STAGE 2
loop: 39 | en_min: -6.62483
loop: 100 | en_min: -6.70119
loop: 127 | en_min: -6.96319
loop: 131 | en_min: -7.09897
loop: 133 | en_min: -7.14214
loop: 136 | en_min: -7.17121
loop: 137 | en_min: -7.19429
loop: 143 | en_min: -7.55337
loop: 159 | en_min: -7.64981
loop: 295 | en_min: -7.67989
loop: 364 | en_min: -7.72041
loop: 434 | en_min: -7.89309
loop: 441 | en_min: -8.13086
loop: 449 | en_min: -8.34069
loop: 488 | en_min: -8.66727
loop: 562 | en_min: -8.67741
loop: 674 | en_min: -8.80741
cycle_min: -8.80741


------------------- CYCLE: 2
-- SCATTER
scatter | en: -5.44929
-- STAGE 1
loop: 1 | en_min: -5.77459
loop: 2 | en_min: -5.81877
loop: 8 | en_min: -5.93558
loop: 9 | en_min: -6.09785
loop: 11 | en_min: -6.12205
loop: 16 | en_min: -6.16383
loop: 20 | en_min: -6.45022
loop: 37 | en_min: -6.45654
loop: 60 | en_min: -6.4944
loop: 68 | en_min: -6.56684
loop: 111 | en_min: -6.63662
-- STAGE 2
loop: 116 | en_min: -6.7271
loop: 152 | en_min: -6.92693
loop: 153 | en_min: -7.0932
loop: 185 | en_min: -7.16353
loop: 187 | en_min: -7.32878
loop: 227 | en_min: -7.42162
loop: 440 | en_min: -7.44691
loop: 457 | en_min: -7.59493
loop: 607 | en_min: -7.76646
cycle_min: -7.76646


------------------- CYCLE: 3
-- SCATTER
scatter | en: -4.01605
-- STAGE 1
loop: 1 | en_min: -5.36318
loop: 3 | en_min: -5.40098
loop: 4 | en_min: -5.46683
loop: 6 | en_min: -5.6809
loop: 19 | en_min: -5.84746
loop: 28 | en_min: -5.91217
loop: 31 | en_min: -5.99609
loop: 42 | en_min: -6.16578
loop: 45 | en_min: -6.35574
loop: 108 | en_min: -6.40539
loop: 109 | en_min: -6.44214
loop: 152 | en_min: -6.50557
loop: 172 | en_min: -6.53412
-- STAGE 2
loop: 31 | en_min: -6.95463
loop: 55 | en_min: -6.95899
loop: 106 | en_min: -7.20709
loop: 157 | en_min: -7.20942
loop: 159 | en_min: -7.35799
loop: 167 | en_min: -7.55777
loop: 248 | en_min: -7.59918
loop: 259 | en_min: -7.63107
loop: 269 | en_min: -7.78123
loop: 292 | en_min: -7.86962
loop: 295 | en_min: -8.01001
loop: 302 | en_min: -8.05184
loop: 601 | en_min: -8.08058
loop: 638 | en_min: -8.19648
cycle_min: -8.19648


------------------- CYCLE: 4
-- SCATTER
scatter | en: -5.79769
-- STAGE 1
loop: 1 | en_min: -5.81843
loop: 9 | en_min: -5.97194
loop: 22 | en_min: -6.06719
loop: 89 | en_min: -6.16551
