

------------------- CYCLE: 1
-- SCATTER
scatter | en: -3.25623
-- STAGE 1
loop: 8 | en_min: -3.25623, en_found: -3.2596
loop: 12 | en_min: -3.2596, en_found: -3.26324
loop: 13 | en_min: -3.26324, en_found: -3.26736
loop: 17 | en_min: -3.26736, en_found: -3.28157
loop: 26 | en_min: -3.28157, en_found: -3.29688
loop: 37 | en_min: -3.29688, en_found: -3.32175
loop: 44 | en_min: -3.32175, en_found: -3.34182
loop: 64 | en_min: -3.34182, en_found: -3.3508
loop: 81 | en_min: -3.3508, en_found: -3.35695
-- STAGE 2
loop: 1 | en_min: -3.35695, en_found: -3.72183
loop: 4 | en_min: -3.72183, en_found: -3.74125
loop: 5 | en_min: -3.74125, en_found: -3.82446
loop: 6 | en_min: -3.82446, en_found: -3.83003
loop: 12 | en_min: -3.83003, en_found: -3.84135
loop: 13 | en_min: -3.84135, en_found: -3.85832
loop: 20 | en_min: -3.85832, en_found: -3.88686
loop: 22 | en_min: -3.88686, en_found: -3.91428
loop: 29 | en_min: -3.91428, en_found: -3.92443
loop: 32 | en_min: -3.92443, en_found: -3.9652
loop: 68 | en_min: -3.9652, en_found: -3.96824
loop: 149 | en_min: -3.96824, en_found: -3.97341
cycle_min: -3.97341


------------------- CYCLE: 2
-- SCATTER
scatter | en: -3.3201
-- STAGE 1
loop: 10 | en_min: -3.3201, en_found: -3.3439
loop: 15 | en_min: -3.3439, en_found: -3.35614
loop: 24 | en_min: -3.35614, en_found: -3.35673
loop: 97 | en_min: -3.35673, en_found: -3.35774
-- STAGE 2
loop: 1 | en_min: -3.35774, en_found: -3.46798
loop: 2 | en_min: -3.46798, en_found: -3.66479
loop: 3 | en_min: -3.66479, en_found: -3.7483
loop: 4 | en_min: -3.7483, en_found: -3.87698
loop: 15 | en_min: -3.87698, en_found: -3.91014
loop: 17 | en_min: -3.91014, en_found: -3.91775
loop: 18 | en_min: -3.91775, en_found: -3.96112
loop: 21 | en_min: -3.96112, en_found: -3.97669
loop: 32 | en_min: -3.97669, en_found: -3.97833
loop: 33 | en_min: -3.97833, en_found: -3.98337
loop: 38 | en_min: -3.98337, en_found: -3.99392
loop: 51 | en_min: -3.99392, en_found: -4.04248
loop: 65 | en_min: -4.04248, en_found: -4.04373
loop: 115 | en_min: -4.04373, en_found: -4.04893
cycle_min: -4.04893


------------------- CYCLE: 3
-- SCATTER
scatter | en: -2.08306
-- STAGE 1
loop: 1 | en_min: -2.08306, en_found: -3.29546
loop: 3 | en_min: -3.29546, en_found: -3.30384
loop: 9 | en_min: -3.30384, en_found: -3.31745
loop: 17 | en_min: -3.31745, en_found: -3.32855
loop: 27 | en_min: -3.32855, en_found: -3.34784
loop: 29 | en_min: -3.34784, en_found: -3.35943
loop: 76 | en_min: -3.35943, en_found: -3.36005
loop: 100 | en_min: -3.36005, en_found: -3.36161
-- STAGE 2
loop: 1 | en_min: -3.36161, en_found: -3.71073
loop: 2 | en_min: -3.71073, en_found: -3.82875
loop: 4 | en_min: -3.82875, en_found: -3.83548
loop: 6 | en_min: -3.83548, en_found: -3.8536
loop: 15 | en_min: -3.8536, en_found: -3.86886
loop: 22 | en_min: -3.86886, en_found: -3.87029
loop: 55 | en_min: -3.87029, en_found: -3.92352
loop: 119 | en_min: -3.92352, en_found: -3.93204
loop: 120 | en_min: -3.93204, en_found: -3.93482
loop: 130 | en_min: -3.93482, en_found: -3.94182
loop: 145 | en_min: -3.94182, en_found: -3.9638
loop: 161 | en_min: -3.9638, en_found: -3.9747
loop: 183 | en_min: -3.9747, en_found: -3.98013
cycle_min: -3.98013


------------------- CYCLE: 4
-- SCATTER
scatter | en: -2.76145
-- STAGE 1
loop: 1 | en_min: -2.76145, en_found: -3.16108
loop: 2 | en_min: -3.16108, en_found: -3.33544
loop: 17 | en_min: -3.33544, en_found: -3.33564
loop: 20 | en_min: -3.33564, en_found: -3.33688
loop: 24 | en_min: -3.33688, en_found: -3.35677
-- STAGE 2
loop: 1 | en_min: -3.35677, en_found: -3.77867
loop: 2 | en_min: -3.77867, en_found: -3.79665
loop: 7 | en_min: -3.79665, en_found: -3.83729
loop: 8 | en_min: -3.83729, en_found: -3.83803
loop: 10 | en_min: -3.83803, en_found: -3.8695
loop: 13 | en_min: -3.8695, en_found: -3.87642
loop: 14 | en_min: -3.87642, en_found: -3.90062
loop: 18 | en_min: -3.90062, en_found: -3.9013
loop: 28 | en_min: -3.9013, en_found: -3.91843
loop: 98 | en_min: -3.91843, en_found: -3.93376
loop: 127 | en_min: -3.93376, en_found: -3.93711
loop: 139 | en_min: -3.93711, en_found: -3.94039
loop: 140 | en_min: -3.94039, en_found: -3.96406
loop: 143 | en_min: -3.96406, en_found: -3.96855
loop: 145 | en_min: -3.96855, en_found: -3.9732
loop: 151 | en_min: -3.9732, en_found: -3.98759
loop: 155 | en_min: -3.98759, en_found: -4.01284
cycle_min: -4.01284


------------------- CYCLE: 5
-- SCATTER
scatter | en: -2.77739
-- STAGE 1
loop: 1 | en_min: -2.77739, en_found: -3.20995
loop: 3 | en_min: -3.20995, en_found: -3.22969
loop: 7 | en_min: -3.22969, en_found: -3.24591
loop: 22 | en_min: -3.24591, en_found: -3.24659
loop: 28 | en_min: -3.24659, en_found: -3.25005
loop: 40 | en_min: -3.25005, en_found: -3.25309
loop: 50 | en_min: -3.25309, en_found: -3.2563
loop: 57 | en_min: -3.2563, en_found: -3.26974
-- STAGE 2
loop: 1 | en_min: -3.26974, en_found: -3.51022
loop: 2 | en_min: -3.51022, en_found: -3.71769
loop: 4 | en_min: -3.71769, en_found: -3.76099
loop: 7 | en_min: -3.76099, en_found: -3.7952
loop: 12 | en_min: -3.7952, en_found: -3.79574
