

------------------- CYCLE: 1
-- SCATTER
scatter | en: 512.478
-- STAGE 1
loop: 1 | en_min: 512.478, en_found: 216.384
loop: 2 | en_min: 216.384, en_found: 77.0811
loop: 3 | en_min: 77.0811, en_found: 58.6465
loop: 4 | en_min: 58.6465, en_found: 20.8722
loop: 9 | en_min: 20.8722, en_found: 1.18743
loop: 19 | en_min: 1.18743, en_found: -3.18597
loop: 63 | en_min: -3.18597, en_found: -4.06384
-- STAGE 2
loop: 2 | en_min: -4.06384, en_found: -4.24624
loop: 13 | en_min: -4.24624, en_found: -4.41237
loop: 18 | en_min: -4.41237, en_found: -4.47455
loop: 23 | en_min: -4.47455, en_found: -4.75169
loop: 26 | en_min: -4.75169, en_found: -5.00525
loop: 29 | en_min: -5.00525, en_found: -5.03448
loop: 39 | en_min: -5.03448, en_found: -5.20031
loop: 53 | en_min: -5.20031, en_found: -5.41053
loop: 80 | en_min: -5.41053, en_found: -5.46452
loop: 112 | en_min: -5.46452, en_found: -5.50251
loop: 113 | en_min: -5.50251, en_found: -5.5038
loop: 115 | en_min: -5.5038, en_found: -5.77787
cycle_min: -5.77787


------------------- CYCLE: 2
-- SCATTER
scatter | en: 4130.41
-- STAGE 1
loop: 1 | en_min: 4130.41, en_found: 915.441
loop: 2 | en_min: 915.441, en_found: 33.3842
loop: 5 | en_min: 33.3842, en_found: 30.0469
loop: 7 | en_min: 30.0469, en_found: 10.3126
loop: 8 | en_min: 10.3126, en_found: 2.76301
loop: 9 | en_min: 2.76301, en_found: -2.01796
loop: 16 | en_min: -2.01796, en_found: -2.9066
loop: 23 | en_min: -2.9066, en_found: -4.94216
loop: 32 | en_min: -4.94216, en_found: -5.0562
loop: 198 | en_min: -5.0562, en_found: -5.47379
-- STAGE 2
loop: 3 | en_min: -5.47379, en_found: -5.63205
loop: 6 | en_min: -5.63205, en_found: -5.80388
loop: 32 | en_min: -5.80388, en_found: -6.0374
loop: 39 | en_min: -6.0374, en_found: -6.06704
loop: 41 | en_min: -6.06704, en_found: -6.07781
loop: 63 | en_min: -6.07781, en_found: -6.10005
loop: 68 | en_min: -6.10005, en_found: -6.30923
loop: 293 | en_min: -6.30923, en_found: -6.48599
loop: 338 | en_min: -6.48599, en_found: -6.52581
cycle_min: -6.52581


------------------- CYCLE: 3
-- SCATTER
scatter | en: 3214.04
-- STAGE 1
loop: 2 | en_min: 3214.04, en_found: 372.012
loop: 4 | en_min: 372.012, en_found: 163.535
loop: 5 | en_min: 163.535, en_found: 120.932
loop: 6 | en_min: 120.932, en_found: 18.6199
loop: 7 | en_min: 18.6199, en_found: 3.5713
loop: 11 | en_min: 3.5713, en_found: 1.38509
loop: 14 | en_min: 1.38509, en_found: 0.939683
loop: 27 | en_min: 0.939683, en_found: -0.132222
loop: 47 | en_min: -0.132222, en_found: -2.06706
loop: 49 | en_min: -2.06706, en_found: -4.05496
loop: 51 | en_min: -4.05496, en_found: -5.06926
loop: 92 | en_min: -5.06926, en_found: -5.91184
loop: 102 | en_min: -5.91184, en_found: -6.45176
-- STAGE 2
loop: 6 | en_min: -6.45176, en_found: -6.84616
loop: 32 | en_min: -6.84616, en_found: -7.11714
loop: 46 | en_min: -7.11714, en_found: -7.4712
cycle_min: -7.4712


------------------- CYCLE: 4
-- SCATTER
scatter | en: 1488.61
-- STAGE 1
loop: 1 | en_min: 1488.61, en_found: 588.519
loop: 2 | en_min: 588.519, en_found: 142.582
loop: 4 | en_min: 142.582, en_found: 18.9095
loop: 7 | en_min: 18.9095, en_found: 6.05522
loop: 9 | en_min: 6.05522, en_found: 3.80968
loop: 13 | en_min: 3.80968, en_found: 1.47911
loop: 18 | en_min: 1.47911, en_found: -1.20601
loop: 53 | en_min: -1.20601, en_found: -2.00112
