-------- LABEL = 0 --------
1: (run: 1, cycle: 1)
2: (run: 1, cycle: 3)
3: (run: 2, cycle: 3)
4: (run: 2, cycle: 8)
5: (run: 3, cycle: 3)
6: (run: 3, cycle: 5)
7: (run: 3, cycle: 8)
8: (run: 4, cycle: 3)
9: (run: 4, cycle: 5)
10: (run: 4, cycle: 8)
11: (run: 5, cycle: 8)
12: (run: 6, cycle: 22)
---------------------------
-------- LABEL = 1 --------
1: (run: 1, cycle: 5)
2: (run: 1, cycle: 9)
3: (run: 2, cycle: 5)
4: (run: 2, cycle: 9)
5: (run: 3, cycle: 9)
6: (run: 4, cycle: 9)
7: (run: 5, cycle: 5)
8: (run: 6, cycle: 5)
9: (run: 6, cycle: 17)
10: (run: 6, cycle: 20)
11: (run: 6, cycle: 21)
12: (run: 6, cycle: 24)
13: (run: 6, cycle: 31)
14: (run: 6, cycle: 35)
15: (run: 6, cycle: 38)
16: (run: 6, cycle: 46)
17: (run: 6, cycle: 47)
18: (run: 6, cycle: 48)
19: (run: 6, cycle: 49)
---------------------------
-------- LABEL = 2 --------
1: (run: 1, cycle: 8)
2: (run: 2, cycle: 1)
3: (run: 3, cycle: 1)
4: (run: 3, cycle: 7)
5: (run: 4, cycle: 7)
6: (run: 5, cycle: 1)
7: (run: 5, cycle: 7)
8: (run: 6, cycle: 1)
9: (run: 6, cycle: 7)
10: (run: 6, cycle: 8)
11: (run: 6, cycle: 12)
12: (run: 6, cycle: 19)
13: (run: 6, cycle: 23)
14: (run: 6, cycle: 26)
15: (run: 6, cycle: 28)
16: (run: 6, cycle: 29)
17: (run: 6, cycle: 30)
18: (run: 6, cycle: 34)
19: (run: 6, cycle: 39)
20: (run: 6, cycle: 41)
21: (run: 6, cycle: 42)
22: (run: 6, cycle: 43)
23: (run: 6, cycle: 45)
---------------------------
-------- LABEL = 3 --------
1: (run: 1, cycle: 2)
2: (run: 1, cycle: 4)
3: (run: 1, cycle: 6)
4: (run: 1, cycle: 7)
5: (run: 1, cycle: 10)
6: (run: 2, cycle: 2)
7: (run: 2, cycle: 4)
8: (run: 2, cycle: 6)
9: (run: 2, cycle: 7)
10: (run: 2, cycle: 10)
11: (run: 3, cycle: 2)
12: (run: 3, cycle: 4)
13: (run: 3, cycle: 6)
14: (run: 3, cycle: 10)
15: (run: 4, cycle: 1)
16: (run: 4, cycle: 2)
17: (run: 4, cycle: 4)
18: (run: 4, cycle: 6)
19: (run: 4, cycle: 10)
20: (run: 5, cycle: 2)
21: (run: 5, cycle: 3)
22: (run: 5, cycle: 4)
23: (run: 5, cycle: 6)
24: (run: 5, cycle: 10)
25: (run: 6, cycle: 2)
26: (run: 6, cycle: 3)
27: (run: 6, cycle: 4)
28: (run: 6, cycle: 6)
29: (run: 6, cycle: 10)
30: (run: 6, cycle: 11)
31: (run: 6, cycle: 13)
32: (run: 6, cycle: 14)
33: (run: 6, cycle: 15)
34: (run: 6, cycle: 16)
35: (run: 6, cycle: 18)
36: (run: 6, cycle: 25)
37: (run: 6, cycle: 27)
38: (run: 6, cycle: 33)
39: (run: 6, cycle: 37)
40: (run: 6, cycle: 40)
41: (run: 6, cycle: 44)
42: (run: 6, cycle: 50)
---------------------------
-------- LABEL = 4 --------
1: (run: 5, cycle: 9)
2: (run: 6, cycle: 9)
3: (run: 6, cycle: 32)
4: (run: 6, cycle: 36)
---------------------------
