
cycle: 1 | en: -4.25723
cycle: 2 | en: -7.38486
cycle: 3 | en: -6.73288
cycle: 4 | en: -6.62635
cycle: 5 | en: -8.0147
cycle: 6 | en: -7.37705
cycle: 7 | en: -7.32709
cycle: 8 | en: -7.7099
cycle: 9 | en: -7.98598
cycle: 10 | en: -7.31263
cycle: 11 | en: -7.69665
cycle: 12 | en: -7.38486
cycle: 13 | en: -6.71637
cycle: 14 | en: -7.2264
cycle: 15 | en: -8.11669
cycle: 16 | en: -7.46062
cycle: 17 | en: -6.35012
cycle: 18 | en: -6.18553
cycle: 19 | en: -7.74105
cycle: 20 | en: -7.43765
cycle: 21 | en: -7.70878
cycle: 22 | en: -7.38486
cycle: 23 | en: -6.47094
cycle: 24 | en: -7.59711
cycle: 25 | en: -6.44421
cycle: 26 | en: -7.46062
cycle: 27 | en: -7.73451
cycle: 28 | en: -5.68448
cycle: 29 | en: -7.95239
cycle: 30 | en: -7.40265
cycle: 31 | en: -6.94847
cycle: 32 | en: -7.31953
cycle: 33 | en: -5.23814
cycle: 34 | en: -7.3664
cycle: 35 | en: -6.46499
cycle: 36 | en: -7.19411
cycle: 37 | en: -7.73451
cycle: 38 | en: -5.43676
cycle: 39 | en: -7.95239
cycle: 40 | en: -7.32337
cycle: 41 | en: -7.73355
cycle: 42 | en: -7.33288
cycle: 43 | en: -7.21114
cycle: 44 | en: -7.3664
cycle: 45 | en: -6.59191
cycle: 46 | en: -7.24386
cycle: 47 | en: -7.67348
cycle: 48 | en: -5.44474
cycle: 49 | en: -8.86651
cycle: 50 | en: -7.32337
cycle: 51 | en: -7.6331
cycle: 52 | en: -7.54398
cycle: 53 | en: -7.47837
cycle: 54 | en: -7.32296
cycle: 55 | en: -6.59191
cycle: 56 | en: -7.44848
cycle: 57 | en: -7.59717
cycle: 58 | en: -7.5146
cycle: 59 | en: -8.86651
cycle: 60 | en: -7.20085
cycle: 61 | en: -7.41538
cycle: 62 | en: -7.64968
cycle: 63 | en: -7.71747
cycle: 64 | en: -7.64561
cycle: 65 | en: -7.60918
cycle: 66 | en: -7.78981
cycle: 67 | en: -6.73631
cycle: 68 | en: -7.37473
cycle: 69 | en: -7.69601
cycle: 70 | en: -8.04267
cycle: 71 | en: -6.67455
cycle: 72 | en: -6.12478
cycle: 73 | en: -7.64414
cycle: 74 | en: -8.01122
cycle: 75 | en: -7.20645
cycle: 76 | en: -7.64167
cycle: 77 | en: -7.3118
cycle: 78 | en: -7.82132
cycle: 79 | en: -7.61326
cycle: 80 | en: -7.7366
cycle: 81 | en: -7.93402
cycle: 82 | en: -8.60163
cycle: 83 | en: -7.48006
cycle: 84 | en: -7.61546
cycle: 85 | en: -6.8504
cycle: 86 | en: -8.69495
cycle: 87 | en: -7.19443
cycle: 88 | en: -7.99051
cycle: 89 | en: -7.70562
cycle: 90 | en: -7.28265
cycle: 91 | en: -7.76805
cycle: 92 | en: -7.7984
cycle: 93 | en: -7.80037
cycle: 94 | en: -7.37407
cycle: 95 | en: -7.72416
cycle: 96 | en: -8.01606
cycle: 97 | en: -6.68642
cycle: 98 | en: -6.53613
cycle: 99 | en: -8.07021
cycle: 100 | en: -7.11401
