
cycle: 1 | en: -7.6331
cycle: 2 | en: -7.54398
cycle: 3 | en: -7.47837
cycle: 4 | en: -7.32296
cycle: 5 | en: -6.59191
cycle: 6 | en: -7.44848
cycle: 7 | en: -7.59717
cycle: 8 | en: -7.5146
cycle: 9 | en: -8.86651
cycle: 10 | en: -7.20085
cycle: 11 | en: -7.41538
cycle: 12 | en: -7.64968
cycle: 13 | en: -7.71747
cycle: 14 | en: -7.64561
cycle: 15 | en: -7.60918
cycle: 16 | en: -7.78981
cycle: 17 | en: -6.73631
cycle: 18 | en: -7.37473
cycle: 19 | en: -7.69601
cycle: 20 | en: -8.04267
cycle: 21 | en: -6.67455
cycle: 22 | en: -6.12478
cycle: 23 | en: -7.64414
cycle: 24 | en: -8.01122
cycle: 25 | en: -7.20645
cycle: 26 | en: -7.64167
cycle: 27 | en: -7.3118
cycle: 28 | en: -7.82132
cycle: 29 | en: -7.61326
cycle: 30 | en: -7.7366
cycle: 31 | en: -7.93402
cycle: 32 | en: -8.60163
cycle: 33 | en: -7.48006
cycle: 34 | en: -7.61546
cycle: 35 | en: -6.8504
cycle: 36 | en: -8.69495
cycle: 37 | en: -7.19443
cycle: 38 | en: -7.99051
cycle: 39 | en: -7.70562
cycle: 40 | en: -7.28265
cycle: 41 | en: -7.76805
cycle: 42 | en: -7.7984
cycle: 43 | en: -7.80037
cycle: 44 | en: -7.37407
cycle: 45 | en: -7.72416
cycle: 46 | en: -8.01606
cycle: 47 | en: -6.68642
cycle: 48 | en: -6.53613
cycle: 49 | en: -8.07021
cycle: 50 | en: -7.11401
